-84.24 9.17 22.7 8.54e+17 -8.09e+17 4.5e+16 6.46e+17 2.56e+17 -3.78e+17 23  X Y mw
93.7 11.16 127.9 2.33e+18 -4.03e+18 -1.7e+18 -4.2100000000000005e+18 1.88e+18 -2.66e+18 23  X Y mw
123.93 6.91 26.2 -3.18e+17 4.8e+17 1.63e+17 -5.55e+17 5.1499999999999994e+17 6.48e+17 23  X Y mw
166.65 -13.81 42.9 6.889999999999999e+19 -5.34e+18 6.349999999999999e+19 5.43e+18 1.71e+18 -2e+19 23  X Y mw
130.01 25.8 12.0 -3.07e+18 8.5e+17 -2.22e+18 -2.16e+17 -3.79e+17 -5.52e+18 23  X Y mw
-35.8 35.31 15.5 -5.4699999999999994e+17 1.61e+18 1.06e+18 1.93e+17 -1.01e+17 -3.18e+18 23  X Y mw
-71.64 -8.08 591.4 -5.9e+18 1.05e+18 -4.86e+18 -1.07e+18 -1.49e+18 1.16e+18 23  X Y mw
-74.52 -14.03 108.9 -1.63e+18 4.34e+17 -1.2e+18 -1.88e+17 -4.7e+17 9.919999999999999e+17 23  X Y mw
-135.54 -54.71 15.4 -8.3e+16 9.2e+17 8.37e+17 1.1e+17 -1.56e+17 -8.7e+17 23  X Y mw
-135.49 -54.72 14.9 -1.21e+17 8.37e+17 7.16e+17 5.2e+16 -4.9e+16 -7.9e+17 23  X Y mw
-77.55 -5.13 132.2 -1.2e+18 1.13e+17 -1.08e+18 -1.52e+17 -2.6899999999999997e+17 6.13e+17 23  X Y mw
95.78 3.36 37.2 4.54e+19 -2.76e+19 1.7700000000000002e+19 6.29e+19 5.29e+19 -2.31e+19 23  X Y mw
-71.25 -18.32 52.6 2.2600000000000003e+18 2.8500000000000003e+17 2.54e+18 4.58e+17 6.89e+17 -6.28e+17 23  X Y mw
100.77 -4.28 12.0 2.47e+18 -1.25e+18 1.22e+18 6.32e+18 4.26e+18 -1.46e+18 23  X Y mw
-74.08 -38.31 14.5 1.09e+18 4e+16 1.1300000000000001e+18 6.600000000000001e+16 2.0200000000000003e+18 -4.6e+16 23  X Y mw
141.28 29.58 98.9 1.1e+18 -7.5e+16 1.0299999999999999e+18 -2.7e+17 -1.1400000000000001e+18 3.82e+17 23  X Y mw
